Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1617103380,58919,58943.05,58882.62,58885.93,1.4293921,84184.919386,58895.609809
1617103440,58891.26,58971.45,58891.26,58961.87,8.27938312,487833.73431,58921.507465
1617103500,58954.61,58965.45,58927.26,58931.19,3.18508484,187747.19815,58945.7448
1617103560,58923.46,58941.38,58908.24,58913.29,0.32082946,18900.66698,58911.881034
1617103620,58919.94,58942.01,58919.94,58939.77,0.06098314,3593.3153525,58923.095014
1617103680,58924.56,58945.12,58924.56,58945.12,0.13413834,7904.0890244,58924.905619
1617103740,58931.91,59000,58931.91,59000,0.27786923,16386.65754,58972.551729
1617103800,59000,59010,58984.71,59010,1.82870271,107893.31301,58999.919683
1617103860,59010,59049.95,58995.73,59041.96,14.37069655,848270.6583,59027.803931
1617103920,59041.73,59066.69,59013.19,59040.23,14.95749419,883214.25459,59048.276627
1617103980,59024.36,59050.57,58995.18,59024.32,14.12877352,834087.17982,59034.648594
1617104040,59015.42,59043.95,58985.09,59015.78,15.82365606,933902.88721,59019.412686
1617104100,59007.55,59033.46,58991.62,58991.62,3.57055263,210729.81716,59018.823973
1617104160,58991.62,59000,58906.63,58906.63,5.95678726,351321.89393,58978.418835
1617104220,58919.34,58934.78,58898.55,58931.67,2.41180655,142085.95595,58912.666917
1617104280,58920,58938.65,58896.95,58935.83,2.25842709,133063.8455,58918.813936
1617104340,58929.1,58995.84,58929.1,58957.95,1.25376725,73940.501959,58974.663725
1617104400,58975.46,58975.46,58949.93,58970,3.25725621,192080.4118,58970.004021
1617104460,58970,59058.55,58970,59050.57,5.07602831,299492.03888,59001.254641
1617104520,59050,59064.21,59007.03,59064.21,0.34750424,20518.66637,59045.801485
1617104580,59040.93,59071.47,59040.93,59066.86,0.07977937,4711.9049447,59061.696585
1617104640,59070.48,59070.48,59049.18,59049.18,0.88957791,52532.288531,59053.049699
1617104700,59055.09,59063.56,59053.07,59063.56,0.03681569,2174.2786848,59058.479817
1617104760,59054.8,59062.99,59032.95,59041.6,1.30595288,77105.626556,59041.660489
1617104820,59032.96,59037.46,58970.54,58999.51,8.61897735,508621.80843,59011.851148
1617104880,58999.5,59008.61,58958.53,58958.53,8.16831074,481863.96738,58991.875153
1617104940,58958.53,59073.4,58958.53,59022.93,10.28850891,607294.52648,59026.485936
1617105000,59052.67,59073.51,59031.05,59038.62,1.94682788,114974.23042,59057.213839
1617105060,59058.47,59073.51,59058.47,59069.29,2.47861609,146398.87602,59064.764651
1617105120,59072.35,59091.19,59061.35,59085.52,1.13049671,66788.448549,59078.852648
1617105180,59085.52,59194.99,59069.47,59172.85,1.82475286,107887.71356,59124.561975